Altium Designer Pick and Place Locations
C:\Users\akkoyun\Documents\B202AA-PCIe\Design Files\Output\Generates pick and place files\Pick Place for B202AA-PCIe.txt

========================================================================================================================
File Design Information:

Date:       07.11.25
Time:       15:56
Revision:   44f9cd2dd184b6571bf89239f4d194a9c03f8d6a
Variant:    No variations
Units used: mil

Designator Comment                                     Layer    Footprint              Center-X(mil) Center-Y(mil) Rotation Description                                                                                     "Manufacturer Name"             "Manufacturer Part Number" 
X1         CX2016DB20000D0GPSC1                        TopLayer CRYSTAL_-_20MHz        -275.000      4705.000      270      "Crystals AEC-Q200 20000kHz 8pF 2x1.6mm"                                                        "Kyocera Electronic Components" CX2016DB20000D0GPSC1       
U10        LTV-846S                                    TopLayer SOIC-4                 -1796.000     6015.000      270      "Transistor Output Optocouplers Optocplr Phototrans 4-Channel"                                  OnSemi                          MB10S                      
U9         LTV-846S                                    TopLayer SOIC-4                 -2311.000     6010.000      270      "Transistor Output Optocouplers Optocplr Phototrans 4-Channel"                                  OnSemi                          MB10S                      
U8         LTV-846S                                    TopLayer SOIC-4                 -2891.000     6035.000      270      "Transistor Output Optocouplers Optocplr Phototrans 4-Channel"                                  OnSemi                          MB10S                      
U7         ISOW7821                                    TopLayer SOIC-16_DW             -2710.000     3370.000      90       "Digital Isolators Dual-channel 1/1 r einforced digital is A 595-ISOW7821FDWER"                 "Texas Instruments"             ISOW7821FDWE               
U6         VOM617A-4T                                  TopLayer SOP-4V2                -1766.000     4720.000      90       "Transistor Output Optocouplers Phototransistor Out CTR 160-320% 5mA"                           Vishay                          VOM617A-4T                 
U5         VOM617A-4T                                  TopLayer SOP-4V2                -2281.000     4755.000      90       "Transistor Output Optocouplers Phototransistor Out CTR 160-320% 5mA"                           Vishay                          VOM617A-4T                 
U4         VOM617A-4T                                  TopLayer SOP-4V2                -2906.000     4725.000      90       "Transistor Output Optocouplers Phototransistor Out CTR 160-320% 5mA"                           Vishay                          VOM617A-4T                 
U3         MAX78630+PPM/D00                            TopLayer TQFN-32_-_Maxim        -300.000      5050.000      270      "Energy Measurement Processor 32-Pin TQFN EP Tube"                                              Silergy                         MAX78630+PPM/D00           
U2         TLP2362(TPR,E                               TopLayer TLP2362                -1010.000     3510.000      90       "High Speed Optocouplers 3750 Vrms 10MBd 4mA 2.7 to 5.5V LED"                                   Toshiba                         TLP2362(TPR,E              
U1         TLP2362(TPR,E                               TopLayer TLP2362                -1595.000     3510.000      90       "High Speed Optocouplers 3750 Vrms 10MBd 4mA 2.7 to 5.5V LED"                                   Toshiba                         TLP2362(TPR,E              
R75        "10K - 0402 - %1 - 1/16W"                   TopLayer RESISTOR_0402          -2573.110     3050.354      90       "Thick Film Resistors - SMD 1/16 W 10 KOhm 1%"                                                  Vishay                          CRCW040210K0FKED           
R74        "33R - 0402 - %1 - 1/16W"                   TopLayer RESISTOR_0402          -2790.000     3645.000      270      "Thick Film Resistors - SMD 1/16 W 33 Ohm 1%"                                                   Vishay                          CRCW040233R0FKED           
R73        "33R - 0402 - %1 - 1/16W"                   TopLayer RESISTOR_0402          -2783.110     3045.354      270      "Thick Film Resistors - SMD 1/16 W 33 Ohm 1%"                                                   Vishay                          CRCW040233R0FKED           
R72        "33R - 0402 - %1 - 1/16W"                   TopLayer RESISTOR_0402          -2735.000     3645.000      270      "Thick Film Resistors - SMD 1/16 W 33 Ohm 1%"                                                   Vishay                          CRCW040233R0FKED           
R71        "33R - 0402 - %1 - 1/16W"                   TopLayer RESISTOR_0402          -2733.110     3045.354      270      "Thick Film Resistors - SMD 1/16 W 33 Ohm 1%"                                                   Vishay                          CRCW040233R0FKED           
R70        "47K - 0402 - %1 - 1/16W"                   TopLayer RESISTOR_0402          -2840.000     3645.000      270      "Thick Film Resistors - SMD 1/16 W 47 KOhm 1%"                                                  Vishay                          CRCW040247K0FKED           
R69        "47K - 0402 - %1 - 1/16W"                   TopLayer RESISTOR_0402          -2680.000     3645.000      270      "Thick Film Resistors - SMD 1/16 W 47 KOhm 1%"                                                  Vishay                          CRCW040247K0FKED           
R68        "47K - 0402 - %1 - 1/16W"                   TopLayer RESISTOR_0402          -2685.000     3045.000      90       "Thick Film Resistors - SMD 1/16 W 47 KOhm 1%"                                                  Vishay                          CRCW040247K0FKED           
R67        "47K - 0402 - %1 - 1/16W"                   TopLayer RESISTOR_0402          -2825.000     3045.000      90       "Thick Film Resistors - SMD 1/16 W 47 KOhm 1%"                                                  Vishay                          CRCW040247K0FKED           
R66        "180K - 0805 - %0.5 - 1/2W"                 TopLayer RESISTOR_0805          -1726.000     5585.000      90       "Thick Film Resistors - SMD 0805 180Kohms 0.5W 0.5% AEC-Q200"                                   Panasonic                       ERJ-P06D1803V              
R65        "180K - 0805 - %0.5 - 1/2W"                 TopLayer RESISTOR_0805          -1741.000     5745.000      90       "Thick Film Resistors - SMD 0805 180Kohms 0.5W 0.5% AEC-Q200"                                   Panasonic                       ERJ-P06D1803V              
R64        "180K - 0805 - %0.5 - 1/2W"                 TopLayer RESISTOR_0805          -1866.000     5590.000      90       "Thick Film Resistors - SMD 0805 180Kohms 0.5W 0.5% AEC-Q200"                                   Panasonic                       ERJ-P06D1803V              
R63        "180K - 0805 - %0.5 - 1/2W"                 TopLayer RESISTOR_0805          -1851.000     5745.000      90       "Thick Film Resistors - SMD 0805 180Kohms 0.5W 0.5% AEC-Q200"                                   Panasonic                       ERJ-P06D1803V              
R62        "100K - 0402 - %1 - 1/16W"                  TopLayer RESISTOR_0402          -1741.000     5008.071      90       "Thick Film Resistors - SMD 1/16 W 100 KOhm 1%"                                                 Vishay                          CRCW0402100KFKED           
R61        "4K7 - 0402 - %1 - 1/16W"                   TopLayer RESISTOR_0402          -1831.000     5170.000      180      "Thick Film Resistors - SMD 1/16 W 4.7 KOhm 1%"                                                 Vishay                          CRCW04024K70FKED           
R60        "180K - 0805 - %0.5 - 1/2W"                 TopLayer RESISTOR_0805          -2251.000     5598.189      90       "Thick Film Resistors - SMD 0805 180Kohms 0.5W 0.5% AEC-Q200"                                   Panasonic                       ERJ-P06D1803V              
R59        "180K - 0805 - %0.5 - 1/2W"                 TopLayer RESISTOR_0805          -2251.000     5755.000      90       "Thick Film Resistors - SMD 0805 180Kohms 0.5W 0.5% AEC-Q200"                                   Panasonic                       ERJ-P06D1803V              
R58        "180K - 0805 - %0.5 - 1/2W"                 TopLayer RESISTOR_0805          -2381.000     5610.000      90       "Thick Film Resistors - SMD 0805 180Kohms 0.5W 0.5% AEC-Q200"                                   Panasonic                       ERJ-P06D1803V              
R57        "180K - 0805 - %0.5 - 1/2W"                 TopLayer RESISTOR_0805          -2381.000     5755.000      90       "Thick Film Resistors - SMD 0805 180Kohms 0.5W 0.5% AEC-Q200"                                   Panasonic                       ERJ-P06D1803V              
R56        "100K - 0402 - %1 - 1/16W"                  TopLayer RESISTOR_0402          -2251.000     4998.071      90       "Thick Film Resistors - SMD 1/16 W 100 KOhm 1%"                                                 Vishay                          CRCW0402100KFKED           
R55        "4K7 - 0402 - %1 - 1/16W"                   TopLayer RESISTOR_0402          -2306.000     5170.000      180      "Thick Film Resistors - SMD 1/16 W 4.7 KOhm 1%"                                                 Vishay                          CRCW04024K70FKED           
R54        "180K - 0805 - %0.5 - 1/2W"                 TopLayer RESISTOR_0805          -2846.000     5630.000      90       "Thick Film Resistors - SMD 0805 180Kohms 0.5W 0.5% AEC-Q200"                                   Panasonic                       ERJ-P06D1803V              
R53        "180K - 0805 - %0.5 - 1/2W"                 TopLayer RESISTOR_0805          -2841.000     5780.000      90       "Thick Film Resistors - SMD 0805 180Kohms 0.5W 0.5% AEC-Q200"                                   Panasonic                       ERJ-P06D1803V              
R52        "180K - 0805 - %0.5 - 1/2W"                 TopLayer RESISTOR_0805          -2951.000     5625.000      90       "Thick Film Resistors - SMD 0805 180Kohms 0.5W 0.5% AEC-Q200"                                   Panasonic                       ERJ-P06D1803V              
R51        "180K - 0805 - %0.5 - 1/2W"                 TopLayer RESISTOR_0805          -2946.000     5780.000      90       "Thick Film Resistors - SMD 0805 180Kohms 0.5W 0.5% AEC-Q200"                                   Panasonic                       ERJ-P06D1803V              
R50        "100K - 0402 - %1 - 1/16W"                  TopLayer RESISTOR_0402          -2861.000     4940.000      90       "Thick Film Resistors - SMD 1/16 W 100 KOhm 1%"                                                 Vishay                          CRCW0402100KFKED           
R49        "4K7 - 0402 - %1 - 1/16W"                   TopLayer RESISTOR_0402          -2911.000     5155.000      180      "Thick Film Resistors - SMD 1/16 W 4.7 KOhm 1%"                                                 Vishay                          CRCW04024K70FKED           
R48        "1K - 0805 - %0.1 - 1/8W"                   TopLayer RESISTOR_0805          340.000       5615.000      0        "Thick Film Resistors - SMD 1/8 W 1 KOhm 0.1%"                                                  Panasonic                       ERA-6AEB102V               
R47        "1K - 0805 - %0.1 - 1/8W"                   TopLayer RESISTOR_0805          600.000       5615.000      0        "Thick Film Resistors - SMD 1/8 W 1 KOhm 0.1%"                                                  Panasonic                       ERA-6AEB102V               
R46        "1K - 0805 - %0.1 - 1/8W"                   TopLayer RESISTOR_0805          850.000       5615.000      0        "Thick Film Resistors - SMD 1/8 W 1 KOhm 0.1%"                                                  Panasonic                       ERA-6AEB102V               
R45        "100R - 0805 - %1 - 1/4W"                   TopLayer RESISTOR_0805          830.000       5425.000      90       "Thick Film Resistors - SMD 1/4 W 100 Ohm 1%"                                                   Vishay                          CRCW0805100RFKEA           
